"","Population1","Population2","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","Lower bound CI limit","Upper bound CI limit","p-value","Fst"
"1","NBH","NBS",0.171747995750196,0.173753120102732,0.177102221139709,0.177449555261543,0.179354318371271,0.179526700055165,0.181096701486778,0.181307824176365,0.181372892910212,0.181390004391679,0.181424444929935,0.181426691151229,0.181538712935007,0.181543223387341,0.181797179597748,0.181996752210562,0.182821946577802,0.183010007800103,0.183188588145545,0.183447729772374,0.18376941663593,0.185058960361335,0.185353975320539,0.185532395603103,0.185843437338439,0.185961379662135,0.187271054128,0.187469042976056,0.187627749890963,0.188001981319016,0.188111653709139,0.188162875427739,0.188376076050921,0.188957543861788,0.189086373217292,0.189463580285942,0.189819241824639,0.189893446946373,0.190049664696819,0.190222083875324,0.190400482018934,0.190825179818503,0.191158471765935,0.191285413588053,0.191288946255651,0.191441850359201,0.191708145676544,0.191961141092439,0.192069029334918,0.192399372224906,0.192413812027885,0.192607775607136,0.192759742639771,0.193268949423387,0.193569091888027,0.194175823505124,0.194835641243462,0.195941274964454,0.195954618242174,0.196010731839448,0.196035647849256,0.196175309738179,0.19618273181427,0.196287354963003,0.196702677677478,0.196803213587147,0.196922304108538,0.197945959561916,0.198029514631607,0.198029754087879,0.19851163806579,0.199012646697411,0.199630305199318,0.199751817051501,0.199773971251071,0.19996044561106,0.199997403118413,0.200210934513648,0.20021902758,0.202898974842319,0.203130392362146,0.203387089056433,0.203497774340428,0.203772988880941,0.204489413671841,0.206004901592374,0.206335574022111,0.207394542136366,0.207533385723484,0.209629714968226,0.209710439823907,0.209937388439411,0.210284608754792,0.211092983986008,0.211169705850308,0.212361255810384,0.212762229861807,0.21329932657859,0.21333146358719,0.219769366922397,0.177102221139709,0.212762229861807,0,0.19453792696851
"2","NBH","LH",0.628892935153244,0.630397084189951,0.643416134896103,0.644475299653423,0.645145166520367,0.645212722777027,0.645376203119136,0.64539612618785,0.645709156069232,0.646394202873751,0.646918700462053,0.648868082690454,0.649016640505522,0.649555435473067,0.649740744968591,0.651352843655141,0.651416126845731,0.652666625758912,0.652864681293021,0.652978476185852,0.653660691068865,0.655064764685499,0.655101284203932,0.655554616628062,0.655652616200823,0.655908663864082,0.656846847082604,0.657623647354624,0.658362560744896,0.658466096555883,0.658594970139156,0.65948913188853,0.659562527709504,0.659613000997221,0.659671328711088,0.659756531002913,0.660015420938762,0.660467406743379,0.661090372610625,0.661273288328608,0.66147810823919,0.661796988829536,0.661800984933928,0.66188504818841,0.663285902593602,0.663807036563596,0.664252006054245,0.664354948111103,0.664794006075466,0.66499862686938,0.665471697723852,0.665708225683661,0.665783905673612,0.665846560135492,0.666135537040174,0.666533756564648,0.666801986082838,0.667337502456365,0.667435820336121,0.667548752950204,0.667778579190774,0.667942032270076,0.668720085418907,0.669646900232695,0.66976477818074,0.66986272290861,0.670139472310637,0.670179511319857,0.67048332307694,0.670738806975311,0.671020848455749,0.671139621699349,0.671549205296317,0.672062609596725,0.672107580501616,0.672686016255384,0.672760987131554,0.672953148971962,0.673653560776486,0.673832666323635,0.674705899982047,0.675457615646872,0.675739730487982,0.67645339436839,0.676731145570188,0.676969977542748,0.677336218030187,0.677422722894543,0.678048945828573,0.678213365267382,0.678639295872596,0.680093993345061,0.681884975421772,0.682176067402154,0.6826512435006,0.684282014079273,0.685138053863385,0.685228500071937,0.68769784623799,0.688449927884211,0.643416134896103,0.685138053863385,0,0.663670603788961
"3","NBH","IS",0.250870455009251,0.250907928400903,0.257753987199001,0.260182452159855,0.263493931102904,0.26462237078416,0.264640996666601,0.26527703447364,0.265747967318056,0.266399012661932,0.268159689392117,0.268718957581853,0.268991042471448,0.269816725706441,0.270177393112163,0.270490168611783,0.270814902411481,0.271664866681024,0.271957086082845,0.272017177045137,0.272932098586441,0.273671556598614,0.273945109485141,0.274287004790421,0.274308110256223,0.274536546486916,0.275062445126119,0.275769816980506,0.275818828835495,0.275843086240062,0.277197941161466,0.27804128479498,0.278296420234616,0.279509073903673,0.279511022810728,0.27961385173657,0.28003035362771,0.280275104915269,0.280429673980813,0.280700898895424,0.281023716524448,0.281362335407728,0.281399325653315,0.281653783891569,0.283149471258766,0.283638698109742,0.284506407574114,0.285003809605401,0.285524640476239,0.28595723075155,0.28677298619404,0.286927637114077,0.287487138140709,0.288045376683371,0.288483737183518,0.289064779622278,0.289122329290315,0.289253927152228,0.289488206480648,0.289740982956742,0.290181230516694,0.290415727254851,0.290725663197963,0.290905557361302,0.291273369738186,0.291449633506013,0.291906229819752,0.29198915551503,0.292904847216115,0.293710447232954,0.294229578603826,0.294266876243489,0.29479114481706,0.29523229549492,0.295329343226227,0.295372034540944,0.295598174782759,0.295714920872636,0.295745033802701,0.295766225968772,0.296091117255468,0.298576486089927,0.298713986756947,0.298840690453556,0.299191778084682,0.299394812006911,0.29988385685797,0.300314131095309,0.301138870282678,0.301655441822344,0.30241647828793,0.302663407170663,0.303026340586828,0.303577745761693,0.305684145522546,0.305912851008114,0.306201779779736,0.308605367069467,0.309679105527938,0.313101089015677,0.257753987199001,0.306201779779736,0,0.2851309723322
"4","NBS","LH",0.496461034922717,0.498901268907623,0.501184683653055,0.502838447311091,0.502971954925026,0.502996612350532,0.50352581704962,0.505988090386213,0.506756930472141,0.50747843613699,0.508382293564694,0.509640359596448,0.510962316707877,0.511318448631066,0.511476636943968,0.512036075659911,0.512186335308702,0.512439157428803,0.512667817476493,0.51275756345537,0.512897031208149,0.512904998753745,0.513589679101978,0.514192644958881,0.514705760183412,0.51492030019804,0.51500922202112,0.515059890798783,0.515859278045808,0.516239859477648,0.516470126938054,0.516813902061409,0.517344164986092,0.517899833028187,0.518329265128025,0.51834930252739,0.518948470778058,0.519916836335383,0.520028621716501,0.520172075523839,0.520711675574501,0.52088951363915,0.521335608822176,0.52144427869588,0.521669910396807,0.521686087301674,0.522461603931899,0.522602517317073,0.523064613294549,0.523290551269787,0.523596473056823,0.523749405182523,0.524014438328286,0.52420025673773,0.524263441198733,0.524289486101216,0.524363822720949,0.524416554941004,0.524605781309685,0.525238133057217,0.525377760554766,0.525473059251403,0.525571634594155,0.525900934413163,0.527279883680194,0.527699723040182,0.527910577832029,0.528107426822453,0.52881220623612,0.52938793564713,0.529659658760049,0.52977464091457,0.529811972181727,0.530571095163837,0.530842401717733,0.531069855017643,0.53122998294092,0.531902437520288,0.532276859681085,0.532374805327155,0.532562951075828,0.532570597002755,0.533366376682593,0.533376132695382,0.534174336971539,0.53436945327397,0.53541398346672,0.535695420512287,0.536343438074732,0.536372018801628,0.538858986758097,0.538882151366283,0.538991880563281,0.541029701746278,0.54129197686615,0.541654257774594,0.542499898036104,0.543002920304115,0.544603492230451,0.545828039958533,0.501184683653055,0.542499898036104,0,0.521793857685418
"5","NBS","IS",0.147119463922187,0.151118589253305,0.1524689221273,0.15339720609818,0.153747689261842,0.1554781006448,0.155597749336941,0.155831646195304,0.156090419143846,0.156181780823554,0.156548253976665,0.156683227331168,0.156948769038843,0.157828069585148,0.158286152694086,0.159111244211336,0.159302120006771,0.159597759962277,0.159738063633872,0.160098754402049,0.160742813053932,0.160965339467175,0.16097353357193,0.161043912608407,0.161200080666666,0.16123768236452,0.1621921189629,0.162366484005728,0.162371118824395,0.162431142350284,0.162778915874303,0.162948864275354,0.163005446996979,0.163025144070827,0.163223817336279,0.163485634132324,0.163651417702777,0.164655620634932,0.164816550198164,0.164896528591001,0.164995598090971,0.165091551414822,0.165382968425631,0.165469422490293,0.165682205657292,0.165904963610573,0.166142279852217,0.166245493621191,0.166430778338018,0.166549966059909,0.166598273672959,0.167038940393552,0.167059759873688,0.167283932601171,0.167373631565528,0.167589933682734,0.167646796455164,0.1677269176831,0.167845882834951,0.167873772973319,0.168651427070958,0.168830890889606,0.16919831306211,0.169319873225184,0.169486384583649,0.169541597604555,0.169622167753753,0.170346498802788,0.170617301809806,0.171061668021096,0.17117633982412,0.171621390096963,0.171715410089116,0.172466694712606,0.173132473462031,0.173422877267924,0.173992913698924,0.173993743761881,0.174367874117911,0.174760267691526,0.175160620286513,0.175281803499657,0.175297828852123,0.175491960770078,0.175760057359323,0.176808169126905,0.177218864025589,0.177873492995544,0.177920857010754,0.177960253435143,0.178042511814142,0.179146024157809,0.179281471521799,0.181016376461887,0.181150487425441,0.181612037062119,0.182670127214713,0.182942376997134,0.185173124645537,0.188587163895221,0.1524689221273,0.182670127214713,0,0.166592391541742
"6","LH","IS",0.628468886129204,0.628761923004948,0.630052276561381,0.63026759684572,0.63347336375511,0.633877320056557,0.634908168256639,0.635952187098955,0.636883347694163,0.638094520812698,0.6385857957206,0.639076026070484,0.639117732894775,0.639639986799191,0.639917410501763,0.641083860923965,0.641485623774983,0.641493215113758,0.642660176066551,0.64290675010751,0.643100867372693,0.643961852117835,0.644242898366391,0.645363376689035,0.645433286552651,0.645599524555059,0.645726623015686,0.646171699531207,0.64699447917923,0.647118556518946,0.647187373937151,0.64734298144584,0.647464195883611,0.647671884802746,0.648801125368406,0.648813210555006,0.649276875393788,0.649306406232059,0.65002426179308,0.650061172943536,0.650840229093079,0.650886026029354,0.651239244346148,0.651499014777075,0.651732091967187,0.652214983640392,0.652910395247129,0.653388237843827,0.653447827555771,0.653962414145526,0.654338963599601,0.654507242004116,0.655298310441694,0.655379491530943,0.65559643340607,0.65610634604415,0.656243335583088,0.656307542105267,0.656355357537282,0.656410402362935,0.657177792494623,0.657435421743862,0.657696568484838,0.657713253944453,0.657754329302011,0.658063150358885,0.658231759225749,0.658245974280855,0.658366709269268,0.658376780190476,0.658408908661392,0.658692067370302,0.658728138809159,0.65930054144982,0.660747394356499,0.660926864067538,0.661599704550473,0.66189925144947,0.661945526142191,0.662575253462553,0.662985234444387,0.663285324114763,0.663433846660244,0.663732601728356,0.663808906207343,0.664761069543669,0.665136122181972,0.665311215918597,0.665613618877479,0.665640708925918,0.667702067217978,0.668505863117266,0.66905569569815,0.673018373784679,0.673498367027132,0.675327470234885,0.681014038697871,0.682321863379126,0.682932000371761,0.686573286738595,0.630052276561381,0.681014038697871,0,0.652285753159777
